Model type,Task,Activity,Split,desc_prot,desc_chem,dropout,R2,RMSE,MAE,MDAE,MARPD,PCC,RMS Calibration,MA Calibration,Miscalibration Area,Sharpness,NLL,CRPS,Check,Interval,rho_rank,rho_rank_sim,rho_rank_sim_std,uq_mis_cal,uq_NLL,uq_NLL_sim,uq_NLL_sim_std,Z_var,Z_var_CI_low,Z_var_CI_high,Z_mean,Z_mean_CI_low,Z_mean_CI_high,rmv_rmse_slope,rmv_rmse_r_sq,rmv_rmse_intercept,aleatoric_uct_mean,epistemic_uct_mean,total_uct_mean,wandb project,wandb run,model name,seed,Group,project_model,Group_Number
emc,PCM,kx,scaffold_cluster,ankh-large,ecfp2048,0.2,0.3065888336704175,1.0966462,0.83478034,0.6428628,12.505343556404114,0.6071848221532651,0.0535166707850193,0.0458237883126524,0.0462866548612651,0.9140026,1.5783331394195557,0.6076512038665248,0.3067061306539343,3.194748402971168,0.2703883397633709,0.4129656162171053,0.0041136381350823,0.3712666572298771,2.6058814458619075,3.056885375311876,0.0036826766288492,0.091948204,0.0822945786854282,0.1094046509380584,-0.07548252,-0.0786546012895111,-0.0725710321207624,0.06545437,0.7693029614630458,0.7083354,0.88160133,4.8602233,5.7418246,reassess-runs_evidential_kx,eager-shape-52,20250207-papyrus_kx_emc_scaffold_cluster_ankh-large_ecfp2048_49_eager-shape-52,49.0,scaffold_cluster_emc,papyrus/kx/all/reassess-runs_evidential_kx/20250207-papyrus_kx_emc_scaffold_cluster_ankh-large_ecfp2048_49_eager-shape-52/,42
emc,PCM,kx,scaffold_cluster,ankh-large,ecfp2048,0.2,0.3633949727125682,1.0507662,0.8061318,0.63551116,12.080085277557371,0.6156968384919003,0.0568818612718292,0.049372945169159,0.0498716617870293,0.92162067,1.5054585933685305,0.5864220120009703,0.2959540435864566,3.10907875389258,0.2386893533773911,0.4483456960552935,0.0038537260763345,0.3799859185234461,2.7314785888938635,3.154503820583165,0.0035782422594583,0.15218216,0.1357344893378097,0.1739447194571082,-0.042369366,-0.0464494356900715,-0.0385792513051538,0.05070443,0.8727331875860725,0.70420635,0.8802739,5.7570333,6.637307,reassess-runs_evidential_kx,scarlet-bush-48,20250207-papyrus_kx_emc_scaffold_cluster_ankh-large_ecfp2048_42_scarlet-bush-48,42.0,scaffold_cluster_emc,papyrus/kx/all/reassess-runs_evidential_kx/20250207-papyrus_kx_emc_scaffold_cluster_ankh-large_ecfp2048_42_scarlet-bush-48/,43
emc,PCM,kx,scaffold_cluster,ankh-large,ecfp2048,0.2,0.3745666985757395,1.0415056,0.8001693,0.62726164,12.011025100946426,0.6222427624768485,0.0547592453533597,0.0495261957789797,0.0500264603828078,0.9093093,1.5283123254776,0.5786163283739172,0.2920350432097094,3.0369576222461534,0.2399301085336518,0.4390202216617984,0.0038639146871435,0.3718704674216732,2.601473483501116,3.039404653229763,0.0037286365966817,0.12238654,0.1090723091785082,0.1412562107457419,-0.04117869,-0.0449017197154136,-0.0378018655095632,0.056571804,0.8464206024251604,0.70370483,0.8700759,4.9302487,5.8003244,reassess-runs_evidential_kx,stellar-jazz-46,20250207-papyrus_kx_emc_scaffold_cluster_ankh-large_ecfp2048_43_stellar-jazz-46,43.0,scaffold_cluster_emc,papyrus/kx/all/reassess-runs_evidential_kx/20250207-papyrus_kx_emc_scaffold_cluster_ankh-large_ecfp2048_43_stellar-jazz-46/,44
emc,PCM,kx,scaffold_cluster,ankh-large,ecfp2048,0.2,0.3296045482470005,1.0782926,0.82181436,0.6365926,12.317167967557909,0.6055918338625556,0.0695481329677775,0.0621229716831053,0.0627504764475811,0.89504117,1.578967571258545,0.5983172705918891,0.3019662918949776,3.180454811189413,0.237003136158065,0.4449156418238,0.0040566378014532,0.3611156321273148,2.5465719478791344,2.9844058809095952,0.0036519421563909,0.119801626,0.1070105712921864,0.1402505436447745,-0.067250654,-0.0707907718771489,-0.0637970216293762,0.054990903,0.753553748549993,0.76589525,0.8524544,4.6462684,5.498723,reassess-runs_evidential_kx,twilight-eon-49,20250207-papyrus_kx_emc_scaffold_cluster_ankh-large_ecfp2048_50_twilight-eon-49,50.0,scaffold_cluster_emc,papyrus/kx/all/reassess-runs_evidential_kx/20250207-papyrus_kx_emc_scaffold_cluster_ankh-large_ecfp2048_50_twilight-eon-49/,45
emc,PCM,kx,scaffold_cluster,ankh-large,ecfp2048,0.2,0.3168351469188075,1.0885136,0.8344409,0.6570151,12.485486268997192,0.5875335979276292,0.0615180244898737,0.0552998727330576,0.0558584573061188,0.9101597,1.5693774223327637,0.6056276498897767,0.3056696298032673,3.2000042698992344,0.2453854012643694,0.435238251440587,0.0041351456032573,0.3719027044644298,2.6433727159466702,3.083284608734968,0.0036794237172386,0.11721852,0.1033373745975003,0.1439670809410397,-0.053539783,-0.0571901251302266,-0.0501850096017254,0.063778006,0.8079602740367442,0.69118905,0.8745125,5.1535482,6.028061,reassess-runs_evidential_kx,vital-firefly-54,20250207-papyrus_kx_emc_scaffold_cluster_ankh-large_ecfp2048_44_vital-firefly-54,44.0,scaffold_cluster_emc,papyrus/kx/all/reassess-runs_evidential_kx/20250207-papyrus_kx_emc_scaffold_cluster_ankh-large_ecfp2048_44_vital-firefly-54/,46
emc,PCM,kx,scaffold_cluster,ankh-large,ecfp2048,0.2,0.3097967511537081,1.0941064,0.83742464,0.6572976,12.543882429599762,0.6011403787671137,0.078613035031121,0.0698462191112525,0.0705517364760126,0.89840066,1.5917940139770508,0.6095768556167217,0.307652708474154,3.233310646844443,0.2490639570877386,0.4603526873170156,0.0038728297320813,0.360863047217879,2.55700507982012,3.0042762733381867,0.0036275728017688,0.099544846,0.0924677956747472,0.1106775778606934,-0.076446325,-0.079700760228693,-0.073323788588599,0.063798,0.824731310164368,0.71806717,0.85444635,4.8280888,5.682535,reassess-runs_evidential_kx,lucky-field-55,20250207-papyrus_kx_emc_scaffold_cluster_ankh-large_ecfp2048_46_lucky-field-55,46.0,scaffold_cluster_emc,papyrus/kx/all/reassess-runs_evidential_kx/20250207-papyrus_kx_emc_scaffold_cluster_ankh-large_ecfp2048_46_lucky-field-55/,47
emc,PCM,kx,scaffold_cluster,ankh-large,ecfp2048,0.2,0.3661810884913523,1.0484644,0.806152,0.63488054,12.106046825647354,0.6153505881496518,0.0510692099699758,0.0462724042846537,0.046739802307731,0.9140889,1.5686951875686646,0.5837207824223886,0.2946197626047118,3.070803937399151,0.2144277694200671,0.4003560035144577,0.0041293762970095,0.3661920214026943,2.5682730072087243,3.0005101878896467,0.0037140256023829,0.1339097,0.115117059036859,0.1756559555873491,-0.040356264,-0.0442085833249292,-0.0368092592189503,0.0671861,0.8517808065415055,0.67304265,0.8792293,4.55495,5.4341793,reassess-runs_evidential_kx,tough-gorge-53,20250207-papyrus_kx_emc_scaffold_cluster_ankh-large_ecfp2048_47_tough-gorge-53,47.0,scaffold_cluster_emc,papyrus/kx/all/reassess-runs_evidential_kx/20250207-papyrus_kx_emc_scaffold_cluster_ankh-large_ecfp2048_47_tough-gorge-53/,48
emc,PCM,kx,scaffold_cluster,ankh-large,ecfp2048,0.2,0.38563429279728,1.0322492,0.778133,0.5917113,11.648780852556229,0.6375905948108505,0.0633803791907036,0.0550456039876975,0.0556012218121229,0.88920873,1.5308231115341189,0.5694576472086467,0.2873643914278757,3.069172734631488,0.2578365349948265,0.4644666628443105,0.0038396778632499,0.3518905583057826,2.4432970109556016,2.8427233404750614,0.003759573050582,0.1962157,0.1726134695056145,0.2369254291747253,-0.06957589,-0.0742375320171842,-0.0652919602154895,0.059667863,0.7837916052408684,0.72887206,0.83595586,4.072904,4.90886,reassess-runs_evidential_kx,leafy-glade-48,20250207-papyrus_kx_emc_scaffold_cluster_ankh-large_ecfp2048_48_leafy-glade-48,48.0,scaffold_cluster_emc,papyrus/kx/all/reassess-runs_evidential_kx/20250207-papyrus_kx_emc_scaffold_cluster_ankh-large_ecfp2048_48_leafy-glade-48/,49
emc,PCM,kx,scaffold_cluster,ankh-large,ecfp2048,0.2,0.3660228767459281,1.0485953,0.79854506,0.6177523,11.963701993227003,0.6198682300596742,0.0614924663164397,0.0539269805917913,0.0544716975674659,0.8965168,1.5450632572174072,0.5819648394448199,0.2937134563625156,3.091530684045758,0.2322719536993429,0.441089995554621,0.0040329418059526,0.3618643348437158,2.518574805157639,2.956139330840059,0.0036250360804306,0.122196354,0.1093639203621035,0.1432625223623576,-0.0500928,-0.0537584128362939,-0.0466897799753437,0.063241504,0.8470990820669873,0.6988964,0.8531213,4.500021,5.3531423,reassess-runs_evidential_kx,dashing-galaxy-47,20250207-papyrus_kx_emc_scaffold_cluster_ankh-large_ecfp2048_51_dashing-galaxy-47,51.0,scaffold_cluster_emc,papyrus/kx/all/reassess-runs_evidential_kx/20250207-papyrus_kx_emc_scaffold_cluster_ankh-large_ecfp2048_51_dashing-galaxy-47/,50
emc,PCM,kx,scaffold_cluster,ankh-large,ecfp2048,0.2,0.3530349603243919,1.0592817,0.804853,0.62181044,12.04942986369133,0.6194655353131108,0.0770655288569448,0.0683691271608866,0.069059724404936,0.891827,1.5526678562164309,0.5872692662124642,0.2963565957144634,3.152217013335461,0.2683288519717785,0.4757888498767466,0.0037189523765681,0.3531125811687903,2.501465264942448,2.8974819548440327,0.0035857904581974,0.20195445,0.1815348324854119,0.2311280141048833,-0.07756559,-0.0823706521894713,-0.0732352247372386,0.06870511,0.86068287884149,0.68555206,0.8379486,4.3973985,5.2353473,reassess-runs_evidential_kx,valiant-silence-51,20250207-papyrus_kx_emc_scaffold_cluster_ankh-large_ecfp2048_45_valiant-silence-51,45.0,scaffold_cluster_emc,papyrus/kx/all/reassess-runs_evidential_kx/20250207-papyrus_kx_emc_scaffold_cluster_ankh-large_ecfp2048_45_valiant-silence-51/,51
ensemble,PCM,kx,scaffold_cluster,ankh-large,ecfp2048,0.2,0.3048601789550718,1.0980122,0.8622643,0.7068684,12.96692192554474,0.5713339567416539,0.0395678679677078,0.0364033831795524,0.03677109412076,1.0422487,1.525960724785845,0.6112168133125008,0.3086047651472897,3.0468146536620417,0.2403825484997041,0.3353357549969936,0.0047152678821591,0.0334932618376725,1.5211447699652214,1.3643992542724457,0.0036122500216312,1.2799838,1.2587514859172997,1.303149032403702,-0.18314816,-0.1943131021360812,-0.1712611760999081,0.56277734,0.8629388599074298,0.516295,0.990715,0.009858042,1.000573,reassess-runs_ensemble_mcdp_kx,dazzling-smoke-81,20240729-papyrus_kx_ensemble_scaffold_cluster_ankh-large_ecfp2048_dazzling-smoke-81,,scaffold_cluster_ensemble,papyrus/kx/all/reassess-runs_ensemble_mcdp_kx/20240729-papyrus_kx_ensemble_scaffold_cluster_ankh-large_ecfp2048_dazzling-smoke-81/,42
ensemble,PCM,kx,scaffold_cluster,ankh-large,ecfp2048,0.2,0.308526855409808,1.0951126,0.8604165,0.70677376,12.939564883708954,0.5737473194841067,0.0425005069583854,0.039080231201612,0.0394749810117293,1.0310612,1.5270619695755212,0.6100045913871903,0.3079915088351118,3.042240730003055,0.2384229209337963,0.3337309731709912,0.0045630752077489,0.0360833776302422,1.5218488807079769,1.3550556765699844,0.0037522134165849,1.3009663,1.278952445119696,1.323987273646228,-0.18132101,-0.1926249741736173,-0.1697140232487961,0.56539327,0.8562285467584778,0.5166877,0.9805325,0.010049928,0.99058247,reassess-runs_ensemble_mcdp_kx,silvery-shadow-89,20240729-papyrus_kx_ensemble_scaffold_cluster_ankh-large_ecfp2048_silvery-shadow-89,,scaffold_cluster_ensemble,papyrus/kx/all/reassess-runs_ensemble_mcdp_kx/20240729-papyrus_kx_ensemble_scaffold_cluster_ankh-large_ecfp2048_silvery-shadow-89/,43
ensemble,PCM,kx,scaffold_cluster,ankh-large,ecfp2048,0.2,0.3077115038114379,1.095758,0.86110526,0.7074096,12.949882447719574,0.5722178864176896,0.0408877399993625,0.0376047300880263,0.0379845758464912,1.0392108,1.5261140604138377,0.6103097020572066,0.3081462669171511,3.0424044548938425,0.2390700354206301,0.3365615228547933,0.0044375367589977,0.0346072674394155,1.521003639993584,1.3607569132809725,0.0038177230510729,1.2900562,1.2679379550122871,1.312847140696355,-0.1751613,-0.1862418669936033,-0.1639094025391411,0.5586533,0.8666755092818772,0.5201975,0.98723936,0.010139865,0.99737924,reassess-runs_ensemble_mcdp_kx,blooming-wave-101,20240730-papyrus_kx_ensemble_scaffold_cluster_ankh-large_ecfp2048_blooming-wave-101,,scaffold_cluster_ensemble,papyrus/kx/all/reassess-runs_ensemble_mcdp_kx/20240730-papyrus_kx_ensemble_scaffold_cluster_ankh-large_ecfp2048_blooming-wave-101/,44
ensemble,PCM,kx,scaffold_cluster,ankh-large,ecfp2048,0.2,0.3050785806972256,1.0978397,0.86205745,0.706831,12.963789701461792,0.571653961766989,0.0417636159358731,0.0383900731784919,0.0387778516954464,1.0352147,1.5285543522661724,0.6113036456388328,0.3086476981021149,3.0493758369784105,0.2396486669613865,0.3351167514834942,0.0043780447175329,0.035575686043243,1.523683229878143,1.3574434217253843,0.0037099944692986,1.298,1.2757575000115275,1.3205357325851712,-0.185601,-0.1971436147701782,-0.1745788519555612,0.56470907,0.8656863498202042,0.51834565,0.983975,0.009618399,0.9935934,reassess-runs_ensemble_mcdp_kx,volcanic-snow-90,20240729-papyrus_kx_ensemble_scaffold_cluster_ankh-large_ecfp2048_volcanic-snow-90,,scaffold_cluster_ensemble,papyrus/kx/all/reassess-runs_ensemble_mcdp_kx/20240729-papyrus_kx_ensemble_scaffold_cluster_ankh-large_ecfp2048_volcanic-snow-90/,45
ensemble,PCM,kx,scaffold_cluster,ankh-large,ecfp2048,0.2,0.302648693991827,1.0997574,0.8638029,0.70861626,12.990081310272217,0.5700772253037292,0.0403632574060815,0.0371354332378831,0.0375105386241244,1.0423001,1.5279708706267583,0.6122867709042138,0.3091450390119679,3.052211261535254,0.2404974107752533,0.3349868939311373,0.0046266276909746,0.0343478209870228,1.5232001647348372,1.3639285651606836,0.0036468166564389,1.2840154,1.2627478165091504,1.306328033576091,-0.18634844,-0.1978435332787066,-0.1750139507599544,0.5632693,0.8543703443609584,0.51763856,0.99055594,0.0094817355,1.0000377,reassess-runs_ensemble_mcdp_kx,firm-water-86,20240729-papyrus_kx_ensemble_scaffold_cluster_ankh-large_ecfp2048_firm-water-86,,scaffold_cluster_ensemble,papyrus/kx/all/reassess-runs_ensemble_mcdp_kx/20240729-papyrus_kx_ensemble_scaffold_cluster_ankh-large_ecfp2048_firm-water-86/,46
ensemble,PCM,kx,scaffold_cluster,ankh-large,ecfp2048,0.2,0.3097567433311076,1.0941381,0.8596227,0.70619726,12.927258014678957,0.5737599772185571,0.0395242872308909,0.0363779297910701,0.0367453836273435,1.0394452,1.5231814240392672,0.6092796771711779,0.3076266722072098,3.036612978112894,0.2381096263001005,0.3345702167062711,0.004632458432161,0.0334644808065034,1.5183781654762336,1.362431385700925,0.0035553822199444,1.2819015,1.2607014060437352,1.3054889261202751,-0.1740668,-0.1854686154795486,-0.1625565212471625,0.5597814,0.8605730086236533,0.5170208,0.9882946,0.009943896,0.9982385,reassess-runs_ensemble_mcdp_kx,light-spaceship-102,20240731-papyrus_kx_ensemble_scaffold_cluster_ankh-large_ecfp2048_light-spaceship-102,,scaffold_cluster_ensemble,papyrus/kx/all/reassess-runs_ensemble_mcdp_kx/20240731-papyrus_kx_ensemble_scaffold_cluster_ankh-large_ecfp2048_light-spaceship-102/,47
ensemble,PCM,kx,scaffold_cluster,ankh-large,ecfp2048,0.2,0.3059443795493077,1.0971556,0.86178434,0.7077446,12.959328293800354,0.5720685496381773,0.0418926077608883,0.0385202566550005,0.0389093501565662,1.0341461,1.5272509610797138,0.6109739257759667,0.3084817074658665,3.0466646928938235,0.2399419868913909,0.3341465777528442,0.0044229101754483,0.0353573368706045,1.5217960963320825,1.358262143380759,0.0036072460226266,1.2933836,1.2725234093260849,1.3165266797136803,-0.18318656,-0.1941783358016759,-0.1712475034476134,0.56625414,0.8588974535562046,0.5156996,0.98334694,0.010705131,0.99405205,reassess-runs_ensemble_mcdp_kx,royal-butterfly-104,20240731-papyrus_kx_ensemble_scaffold_cluster_ankh-large_ecfp2048_royal-butterfly-104,,scaffold_cluster_ensemble,papyrus/kx/all/reassess-runs_ensemble_mcdp_kx/20240731-papyrus_kx_ensemble_scaffold_cluster_ankh-large_ecfp2048_royal-butterfly-104/,48
ensemble,PCM,kx,scaffold_cluster,ankh-large,ecfp2048,0.2,0.3079403811255754,1.0955769,0.8607967,0.70649624,12.945251166820526,0.5725515156771385,0.0398323726213075,0.0366261003287729,0.0369960609381545,1.0407764,1.524292185439496,0.6100842957722507,0.3080329772753043,3.0404516808537347,0.2392960849101209,0.335420554707271,0.0047781384775058,0.0335671755980535,1.519323834332163,1.3630532422692576,0.0035720944392193,1.2815679,1.2599899250266646,1.304214786289224,-0.17511655,-0.1866682224373204,-0.1637210014940806,0.5599024,0.8604302377986589,0.51745,0.98919487,0.0103146825,0.9995096,reassess-runs_ensemble_mcdp_kx,vague-salad-103,20240731-papyrus_kx_ensemble_scaffold_cluster_ankh-large_ecfp2048_vague-salad-103,,scaffold_cluster_ensemble,papyrus/kx/all/reassess-runs_ensemble_mcdp_kx/20240731-papyrus_kx_ensemble_scaffold_cluster_ankh-large_ecfp2048_vague-salad-103/,49
ensemble,PCM,kx,scaffold_cluster,ankh-large,ecfp2048,0.2,0.3050399000356426,1.0978702,0.8621939,0.7077284,12.965743243694304,0.5717997814610439,0.0412423020388262,0.0379321773252731,0.038315330631589,1.0372455,1.5284964373571162,0.6113411091994725,0.308666664281475,3.049474907843749,0.2394847683178126,0.3353375292033972,0.0045245530454656,0.0350374487692359,1.5234842399678985,1.3593658866432128,0.003668792407417,1.2933898,1.271775343068206,1.3163773753870125,-0.1863968,-0.1980717579198561,-0.175106821491923,0.56177944,0.8547267703702279,0.5199969,0.98582083,0.009839719,0.99566054,reassess-runs_ensemble_mcdp_kx,decent-energy-81,20240729-papyrus_kx_ensemble_scaffold_cluster_ankh-large_ecfp2048_decent-energy-81,,scaffold_cluster_ensemble,papyrus/kx/all/reassess-runs_ensemble_mcdp_kx/20240729-papyrus_kx_ensemble_scaffold_cluster_ankh-large_ecfp2048_decent-energy-81/,50
ensemble,PCM,kx,scaffold_cluster,ankh-large,ecfp2048,0.2,0.307412557081222,1.0959946,0.8609093,0.70691586,12.946072220802307,0.5731695913125466,0.0418450178722866,0.0384873793615442,0.0388761407692365,1.0351825,1.5273381631901146,0.6103017343906706,0.3081414975135265,3.0437156303688875,0.2407979868504462,0.3365532260971712,0.0044343950047726,0.0353517093696238,1.522046480023651,1.3574507748773903,0.0035862301444518,1.2961762,1.2745468943656986,1.3188623867387392,-0.18274306,-0.1941845897099157,-0.171313113785506,0.5632158,0.8557398641119458,0.5173772,0.98347074,0.010553782,0.9940245,reassess-runs_ensemble_mcdp_kx,vivid-waterfall-82,20240729-papyrus_kx_ensemble_scaffold_cluster_ankh-large_ecfp2048_vivid-waterfall-82,,scaffold_cluster_ensemble,papyrus/kx/all/reassess-runs_ensemble_mcdp_kx/20240729-papyrus_kx_ensemble_scaffold_cluster_ankh-large_ecfp2048_vivid-waterfall-82/,51
