Model type,Task,Activity,Split,desc_prot,desc_chem,dropout,R2,RMSE,MAE,MDAE,MARPD,PCC,RMS Calibration,MA Calibration,Miscalibration Area,Sharpness,NLL,CRPS,Check,Interval,rho_rank,rho_rank_sim,rho_rank_sim_std,uq_mis_cal,uq_NLL,uq_NLL_sim,uq_NLL_sim_std,Z_var,Z_var_CI_low,Z_var_CI_high,Z_mean,Z_mean_CI_low,Z_mean_CI_high,rmv_rmse_slope,rmv_rmse_r_sq,rmv_rmse_intercept,aleatoric_uct_mean,epistemic_uct_mean,total_uct_mean,wandb project,wandb run,model name,seed,Group,project_model,Group_Number
emc,PCM,xc50,scaffold_cluster,ankh-large,ecfp2048,0.2,0.3957330173849562,0.90963495,0.7062084,0.56977224,10.556848347187042,0.6339952408393147,0.0538783008439065,0.0483685048086901,0.0488570755643335,1.0083036,1.3818836212158203,0.5094244862733011,0.2572281232099152,2.550827793400844,0.0761942683470617,0.1477510806245342,0.0083919594862437,0.4091164844998582,2.7478847685439187,3.236718208629469,0.0060879297426023,0.022002509,0.0214215203952128,0.0226303342882975,-0.0072004464,-0.0096117062601809,-0.0048347908019494,0.048664194,0.3425837241296536,0.60377556,1.0079733,5.212325,6.2202983,reassess-runs_evidential_xc50,royal-rain-57,20250207-papyrus_xc50_emc_scaffold_cluster_ankh-large_ecfp2048_45_royal-rain-57,45.0,scaffold_cluster_emc,papyrus/xc50/all/reassess-runs_evidential_xc50/20250207-papyrus_xc50_emc_scaffold_cluster_ankh-large_ecfp2048_45_royal-rain-57/,42
emc,PCM,xc50,scaffold_cluster,ankh-large,ecfp2048,0.2,0.4017058593167065,0.90512824,0.70438534,0.5734477,10.522278398275375,0.6389774241320519,0.0518572598264913,0.0464277312668649,0.0468966982493585,1.0031093,1.3778822422027588,0.5070094095169623,0.2560086236830705,2.537140043226421,0.0828043653475097,0.1561161575246991,0.0079238675220252,0.4100106925121021,2.754948139758587,3.2445246317239063,0.0057151557625991,0.021489143,0.0209237203280635,0.022102755108306,-0.007518305,-0.0098935307113749,-0.0051668321782583,0.051103827,0.3376949908945793,0.5810636,1.0020989,5.2700443,6.2721434,reassess-runs_evidential_xc50,rare-grass-59,20250207-papyrus_xc50_emc_scaffold_cluster_ankh-large_ecfp2048_44_rare-grass-59,44.0,scaffold_cluster_emc,papyrus/xc50/all/reassess-runs_evidential_xc50/20250207-papyrus_xc50_emc_scaffold_cluster_ankh-large_ecfp2048_44_rare-grass-59/,43
emc,PCM,xc50,scaffold_cluster,ankh-large,ecfp2048,0.2,0.3974906562588748,0.90831107,0.7036396,0.5670309,10.5135940015316,0.6369053644386469,0.0505399461620705,0.0456534975437624,0.0461146439835984,0.99347335,1.3793485164642334,0.5076356730320999,0.2563226564092378,2.544088811087132,0.0667058495230941,0.1546815518009822,0.0083618148617305,0.4092326216804305,2.747171225894628,3.236012025057204,0.0061149145274437,0.022168988,0.0215528547234873,0.0228221694319511,-0.008251825,-0.0106392620434559,-0.0058820520950514,0.037590187,0.2558244036894705,0.67170143,0.9933244,5.22816,6.221484,reassess-runs_evidential_xc50,absurd-sponge-61,20250207-papyrus_xc50_emc_scaffold_cluster_ankh-large_ecfp2048_51_absurd-sponge-61,51.0,scaffold_cluster_emc,papyrus/xc50/all/reassess-runs_evidential_xc50/20250207-papyrus_xc50_emc_scaffold_cluster_ankh-large_ecfp2048_51_absurd-sponge-61/,44
emc,PCM,xc50,scaffold_cluster,ankh-large,ecfp2048,0.2,0.3919264163219417,0.9124956,0.7098232,0.573329,10.594476759433746,0.63209005243109,0.0497729496686454,0.0444938767037984,0.0449440086885599,1.0032911,1.3848130702972412,0.510998331334899,0.2580226360965391,2.55574732661771,0.0740255830347313,0.1481205033029796,0.0081246436962497,0.4096524974984289,2.7589210047456207,3.2480965194241564,0.0057094358835828,0.0217523,0.0211695080612659,0.0223798113751332,-0.0069780676,-0.0094018141139503,-0.0045560081708711,0.041859232,0.2843701290812156,0.6463022,1.0024754,5.287239,6.2897143,reassess-runs_evidential_xc50,earthy-haze-62,20250207-papyrus_xc50_emc_scaffold_cluster_ankh-large_ecfp2048_49_earthy-haze-62,49.0,scaffold_cluster_emc,papyrus/xc50/all/reassess-runs_evidential_xc50/20250207-papyrus_xc50_emc_scaffold_cluster_ankh-large_ecfp2048_49_earthy-haze-62/,45
emc,PCM,xc50,scaffold_cluster,ankh-large,ecfp2048,0.2,0.3974216937037748,0.9083631,0.7051904,0.5693288,10.53832322359085,0.6357060857397749,0.0543030540680711,0.0490604026845637,0.0495559623076401,1.0097647,1.382085204124451,0.5086919692283391,0.2568582792598785,2.547137771645465,0.0740947453349542,0.149085527319676,0.0083364414142227,0.4106469691181196,2.7621059872542206,3.25144774645626,0.006021769637282,0.021156078,0.0206119963282227,0.0217439635069105,-0.0054756794,-0.0079293646925392,-0.00315494636766,0.06350854,0.4695905344628978,0.50313205,1.0091712,5.303806,6.312977,reassess-runs_evidential_xc50,glad-butterfly-60,20250207-papyrus_xc50_emc_scaffold_cluster_ankh-large_ecfp2048_50_glad-butterfly-60,50.0,scaffold_cluster_emc,papyrus/xc50/all/reassess-runs_evidential_xc50/20250207-papyrus_xc50_emc_scaffold_cluster_ankh-large_ecfp2048_50_glad-butterfly-60/,46
emc,PCM,xc50,scaffold_cluster,ankh-large,ecfp2048,0.2,0.3919532201789192,0.9124755,0.7090103,0.5726967,10.59674248099327,0.6320157500855994,0.0410093830606951,0.0365605896367675,0.036923293823093,0.97548425,1.388487458229065,0.5095195913911441,0.2572733242083332,2.547446615873923,0.0712218103604841,0.1636185994486182,0.0080113506468505,0.4083715112755651,2.7450908634104096,3.2338026061494127,0.0060677949904714,0.02244833,0.0218493824218821,0.0230922286973592,-0.006905104,-0.0093286306206775,-0.004481437700831,0.042560656,0.3040518007799805,0.64512455,0.97480565,5.2391696,6.2139754,reassess-runs_evidential_xc50,classic-water-62,20250207-papyrus_xc50_emc_scaffold_cluster_ankh-large_ecfp2048_47_classic-water-62,47.0,scaffold_cluster_emc,papyrus/xc50/all/reassess-runs_evidential_xc50/20250207-papyrus_xc50_emc_scaffold_cluster_ankh-large_ecfp2048_47_classic-water-62/,47
emc,PCM,xc50,scaffold_cluster,ankh-large,ecfp2048,0.2,0.3976655971179746,0.90817916,0.7046855,0.5734501,10.527246445417404,0.6360427846163271,0.0541616876193664,0.0494976821421157,0.0499976587294098,1.0099995,1.3796489238739014,0.5087568442834653,0.2568908503538072,2.546999520187506,0.0833491344125792,0.1406591950242104,0.0084366961922307,0.4115014978964791,2.770741120026254,3.260397069053888,0.0057139396623979,0.020835716,0.0202664802420802,0.0214099044486708,-0.006957834,-0.0093252133686559,-0.0046779889894874,0.05285351,0.3775024035199422,0.56863606,1.0095454,5.351725,6.3612704,reassess-runs_evidential_xc50,rose-snow-56,20250207-papyrus_xc50_emc_scaffold_cluster_ankh-large_ecfp2048_42_rose-snow-56,42.0,scaffold_cluster_emc,papyrus/xc50/all/reassess-runs_evidential_xc50/20250207-papyrus_xc50_emc_scaffold_cluster_ankh-large_ecfp2048_42_rose-snow-56/,48
emc,PCM,xc50,scaffold_cluster,ankh-large,ecfp2048,0.2,0.3987833380186605,0.9073362,0.7039666,0.5684843,10.515550523996351,0.636463872990229,0.0318058727816941,0.028277258155484,0.0285622485707044,0.94311035,1.3802945613861084,0.5058233917604565,0.255404280635307,2.533060425668243,0.0762268655071382,0.1749536305566988,0.0082504187493243,0.4066184146656763,2.7196207157650805,3.2078570163310407,0.0061359316950315,0.023437995,0.0227905299817101,0.0241407369800086,-0.0068586287,-0.0093911869266843,-0.0042935549929421,0.043514397,0.3213970140500588,0.6396961,0.94140637,5.12548,6.0668864,reassess-runs_evidential_xc50,chocolate-wood-64,20250207-papyrus_xc50_emc_scaffold_cluster_ankh-large_ecfp2048_48_chocolate-wood-64,48.0,scaffold_cluster_emc,papyrus/xc50/all/reassess-runs_evidential_xc50/20250207-papyrus_xc50_emc_scaffold_cluster_ankh-large_ecfp2048_48_chocolate-wood-64/,49
emc,PCM,xc50,scaffold_cluster,ankh-large,ecfp2048,0.2,0.3948538055405907,0.9102965,0.7078095,0.5769038,10.580425709486008,0.6356783871319027,0.0385543297172001,0.0347865634830278,0.0351325150690495,0.9688816,1.3876551389694214,0.5091317333678657,0.2570783885319389,2.5430161403330125,0.0630798057807075,0.1597232875794748,0.0081563335148624,0.4074313696932056,2.73453720397316,3.223466992632932,0.0058997254131688,0.02293024,0.0223130549814696,0.0236147257172175,-0.011087726,-0.0135061673184736,-0.008627958802889,0.03303407,0.2293976171090558,0.7049606,0.9679562,5.1765637,6.14452,reassess-runs_evidential_xc50,ethereal-hill-65,20250207-papyrus_xc50_emc_scaffold_cluster_ankh-large_ecfp2048_46_ethereal-hill-65,46.0,scaffold_cluster_emc,papyrus/xc50/all/reassess-runs_evidential_xc50/20250207-papyrus_xc50_emc_scaffold_cluster_ankh-large_ecfp2048_46_ethereal-hill-65/,50
emc,PCM,xc50,scaffold_cluster,ankh-large,ecfp2048,0.2,0.3948984912355837,0.9102629,0.7043798,0.5667248,10.526855289936066,0.6346436695955346,0.0510319946456209,0.0456777279471529,0.0461337284245356,0.9940257,1.384135127067566,0.5086196137604491,0.2568220689593791,2.552306994166808,0.0836015994566547,0.1585231514409692,0.007935672552955,0.40613039409452,2.712766971382373,3.201069619295997,0.0058452536194252,0.023673242,0.0230282717221411,0.0243791973069762,-0.0066505657,-0.0091273357228533,-0.0041124525909769,0.053512182,0.3033358375761454,0.5837538,0.9934014,5.016811,6.0102124,reassess-runs_evidential_xc50,magic-mountain-56,20250207-papyrus_xc50_emc_scaffold_cluster_ankh-large_ecfp2048_43_magic-mountain-56,43.0,scaffold_cluster_emc,papyrus/xc50/all/reassess-runs_evidential_xc50/20250207-papyrus_xc50_emc_scaffold_cluster_ankh-large_ecfp2048_43_magic-mountain-56/,51
