accession,test_data,train_data,val_data
O43570,542,2386,550
P00742,276,1177,253
P00915,688,3161,697
P00918,719,3332,733
P08908,452,2101,483
P0DMS8,487,2268,487
P14416,705,3135,650
P21554,354,1666,342
P28223,401,1825,380
P29274,640,2808,600
P30542,557,2461,506
P34969,309,1342,287
P34972,455,2187,453
P35372,375,1847,367
P35462,485,2270,479
P41143,284,1361,271
P41145,306,1542,315
P50406,432,2045,438
Q16790,674,2927,641
Q9Y5N1,442,1939,432
ecfp1024,5029,23467,5029
ecfp2048,5029,23467,5029
level_1,5029,23467,5029
smiles,5029,23467,5029
