accession,test_data,train_data,val_data
O43570,608,2332,538
P00742,209,1229,268
P00915,875,2958,713
P00918,929,3104,751
P08908,481,2078,477
P0DMS8,339,2492,411
P14416,728,3157,605
P21554,531,1483,348
P28223,304,1851,451
P29274,598,2940,510
P30542,448,2589,487
P34969,217,1393,328
P34972,604,2025,466
P35372,350,1894,345
P35462,524,2277,433
P41143,260,1438,218
P41145,309,1551,303
P50406,364,2150,401
Q16790,795,2777,670
Q9Y5N1,555,1871,387
ecfp1024,5358,23447,4720
ecfp2048,5358,23447,4720
level_1,5358,23447,4720
scaffold,5358,23447,4720
smiles,5358,23447,4720
