accession,test_data,train_data,val_data
O00329,904,4113,933
O60674,440,2143,438
P00533,1364,6340,1376
P08581,422,1947,451
P08684,423,2047,434
P22303,474,2305,500
P24941,880,4391,937
P27338,495,2242,458
P28845,385,1837,357
P34972,386,1818,372
P35968,839,3690,843
P37231,430,2026,437
P42336,1633,7554,1653
P42338,643,2996,651
P48736,1275,5723,1256
P56817,533,2486,551
Q12809,1074,4894,1013
Q13547,567,2863,600
Q16539,1267,6048,1299
Q9UBN7,424,1943,416
ecfp1024,12172,56800,12171
ecfp2048,12172,56800,12171
level_1,12172,56800,12171
smiles,12172,56800,12171
